		India	Iran	Nigeria	Kenya	Congo	Zimbabwe	Sri Lanka	Uganda	Afghanistan	Guinea
ro	2417	1168	7	6	1	0	1	10	0	0	0
road	2418	105429	972	6374	1190	950	531	1458	983	220	2
rob	2419	1985	19	344	53	60	50	42	63	1	0
robbery	2420	1953	23	815	74	123	45	68	75	10	0
robot	2421	6341	125	38	35	4	18	28	3	0	0
rock	2422	6445	194	634	118	58	100	123	63	17	0
rocket	2423	2274	348	94	28	17	15	25	11	54	0
rod	2424	15597	44	36	6	1	5	22	8	1	0
role	2425	54004	1616	2958	609	920	433	1131	325	177	0
roll	2426	19765	261	538	181	172	148	145	100	14	0
roof	2427	6285	30	143	48	37	46	90	68	1	0
room	2428	31305	342	1128	312	236	141	891	336	22	0
rope	2429	6182	13	45	41	16	32	29	10	2	0
rose	2430	1309	101	30	10	9	6	19	6	0	0
rot	2431	488	9	123	38	26	11	16	32	0	0
rotational	2432	2192	3	29	6	3	2	3	1	0	0
rough	2433	2429	24	90	38	10	12	77	29	0	0
roundabout	2434	740	4	74	13	8	2	28	25	5	0
route	2435	20482	807	732	204	138	90	244	187	72	0
routinely	2436	902	25	47	22	12	11	14	7	4	0
row	2437	7756	163	164	126	37	28	62	58	8	0
royal	2438	3295	88	293	52	36	6	225	67	2	0
rub	2439	1518	38	68	18	7	14	14	23	0	0
rugby	2440	588	10	20	83	28	137	332	48	0	0
rule	2441	69143	1206	3885	929	811	561	978	515	91	1
ruler	2442	1333	156	1210	73	91	5	81	37	3	0
run	2443	77577	1346	4095	1347	933	757	1606	819	238	1
running	2444	1995	17	275	105	36	36	53	27	4	0
rural	2445	21297	186	799	154	379	364	395	126	54	0
rush	2446	10679	146	552	149	77	69	114	137	9	0
russian	2447	6770	2258	245	119	26	35	122	48	63	0
sad	2448	3633	63	622	83	80	83	70	48	5	0
sadly	2449	1089	25	220	25	42	47	48	27	2	0
safe	2450	66878	2701	2358	552	341	167	1983	235	92	0
safely	2451	4356	41	154	29	43	21	45	32	6	0
safety	2452	80769	443	2620	344	295	148	2530	226	46	0
said	2453	5674	55	327	30	64	19	99	42	15	0
sale	2454	484623	1455	8272	773	235	221	17468	210	14	0
same	2455	141068	3697	5848	1281	1127	954	2957	935	151	1
sand	2456	5858	157	116	32	24	16	73	68	4	0
sanitary	2457	3845	26	78	22	11	34	49	24	0	0
sar	2458	2480	47	472	49	37	24	21	7	0	0
saree	2459	1271	2	1	0	0	0	25	0	0	0
saturday	2460	811	45	111	20	20	7	20	8	3	0
sauce	2461	1443	17	31	11	4	0	43	10	0	0
save	2462	25043	561	1770	428	349	237	353	359	28	1
say	2463	896084	43208	85095	18975	17028	11569	16517	12986	6174	3
saying	2464	611	10	100	20	15	8	31	9	2	0
sc	2465	682	0	23	1	3	1	36	7	0	0
scale	2466	29508	579	1152	265	269	194	755	158	32	0
scam	2467	6355	13	179	64	14	19	168	8	0	0
scar	2468	737	14	44	31	12	12	16	7	0	0
scare	2469	1695	24	147	42	19	19	17	27	1	0
scared	2470	2112	24	113	24	24	26	20	25	3	0
scary	2471	746	10	52	16	6	13	6	8	0	0
scenario	2472	9429	176	328	79	60	46	178	55	8	0
scene	2473	10585	447	850	230	151	144	218	160	21	0
scheme	2474	50101	231	1587	263	266	178	433	158	14	0
school	2475	75920	764	7091	1736	1580	939	1998	1792	183	0
science	2476	19116	420	827	149	180	84	368	132	9	0
scope	2477	13674	77	210	39	36	42	98	18	3	0
scout	2478	864	8	59	16	7	21	7	8	1	0
scream	2479	1283	13	103	27	17	25	16	19	0	0
screen	2480	29596	274	512	75	56	42	199	66	4	0
scrutiny	2481	2676	68	117	64	37	23	37	16	6	0
sd	2482	12686	876	350	124	2	0	592	2	0	0
se	2483	3781	38	61	7	6	5	45	5	1	0
sea	2484	9478	605	345	98	98	24	677	25	5	0
search	2485	31419	1527	1200	336	221	122	642	162	29	0
season	2486	31896	347	2102	1030	490	841	505	386	26	0
seasonal	2487	2115	45	43	15	8	23	75	12	2	0
seat	2488	41405	329	1166	482	231	163	348	320	27	0
second	2489	4079	72	167	130	44	25	89	41	1	0
secondary	2490	14303	114	1012	270	149	62	186	157	2	0
secret	2491	5280	252	743	106	84	67	86	74	13	0
secretary	2492	69719	1515	4226	1113	833	333	2125	401	150	0
sector	2493	561492	18175	19391	2988	1760	1093	23449	742	130	5
security	2494	133135	4201	11518	1365	1624	503	2241	997	1723	0
see	2495	183272	3998	11240	2584	2004	1591	4363	1568	196	4
seed	2496	16036	136	596	208	128	170	122	141	28	0
seek	2497	73637	1720	3767	1237	812	564	1006	630	94	1
seem	2498	24751	540	1440	421	315	285	528	304	21	0
segment	2499	56806	45	493	160	70	16	1415	25	4	0
seismic	2500	1627	112	21	4	5	3	17	2	0	0
selection	2501	13143	57	300	73	79	57	205	51	8	0
self	2502	28442	590	1808	379	308	276	496	243	27	0
selfless	2503	468	7	151	8	20	14	6	7	1	0
sell	2504	81668	1655	2989	862	482	477	2417	468	64	0
selling	2505	4703	12	254	68	27	32	579	16	2	0
semi	2506	6951	176	228	229	83	31	204	51	12	0
send	2507	55573	1308	2431	713	580	336	689	394	174	0
senior	2508	59173	1435	2160	504	453	349	1540	504	126	0
sense	2509	21246	218	1104	218	174	125	340	164	10	0
sensitive	2510	9087	185	337	72	40	29	137	32	5	0
sentence	2511	8469	366	736	131	205	107	174	119	21	0
sentiment	2512	6626	86	382	57	67	41	138	21	2	0
sep	2513	3518	58	65	13	0	1	250	0	0	0
series	2514	40761	531	980	304	200	154	737	103	95	2
serious	2515	16491	770	1542	306	360	236	449	218	113	0
seriously	2516	4947	293	549	110	139	100	119	52	29	0
seriousness	2517	825	29	123	16	27	18	20	11	1	0
serve	2518	48134	746	4205	852	820	341	2711	475	87	0
server	2519	15921	47	134	24	9	8	32	13	2	0
service	2520	332380	2396	10220	2331	1850	1046	7392	1145	231	1
services	2521	960	0	3	0	2	0	5	0	1	0
set	2522	154669	2324	6310	1675	1201	947	2784	756	107	0
setting	2523	7403	65	280	34	52	28	120	29	2	0
settle	2524	10389	265	808	259	123	134	191	135	15	0
sever	2525	600	64	28	8	10	5	9	4	4	0
several	2526	59011	2313	3315	805	810	388	2208	682	229	0
severe	2527	11122	325	398	115	93	90	191	93	17	0
severely	2528	2617	100	149	27	42	31	80	22	11	0
sexual	2529	9356	174	871	134	246	104	141	150	28	0
shadow	2530	2481	99	119	33	42	28	49	29	31	0
shall	2531	82898	96	1803	321	354	211	214	525	23	0
shape	2532	23782	204	500	123	78	63	195	101	9	0
share	2533	869715	69615	34011	7945	757	480	63635	672	187	1
shared	2534	1217	17	41	10	21	3	18	10	7	0
shareholder	2535	200331	4067	4599	827	68	114	9087	68	1	0
sharp	2536	6871	115	266	77	37	32	95	49	19	0
she	2537	230251	2636	16753	4928	3922	2970	3179	5191	359	0
shed	2538	8721	356	282	77	40	62	175	29	12	0
sheet	2539	30103	111	730	63	49	35	1229	57	2	0
shelter	2540	5990	119	173	66	75	27	61	44	11	0
shield	2541	4540	145	164	51	33	5	46	26	6	0
shift	2542	24952	204	622	183	133	100	280	112	45	0
ship	2543	11112	710	564	127	94	47	438	33	12	1
shock	2544	7903	131	763	212	141	115	135	133	10	0
shocked	2545	766	9	52	28	15	5	1	14	2	0
shocking	2546	2022	42	526	30	33	30	27	15	2	0
shoot	2547	23614	727	1124	378	244	142	289	288	87	0
shop	2548	20238	143	1004	232	158	201	343	168	41	0
short	2549	52823	914	1667	526	355	300	1827	270	43	1
shortly	2550	3841	217	593	100	109	14	97	84	10	0
shot	2551	7616	154	350	232	91	62	72	58	10	0
should	2552	148918	4301	16966	2764	2875	2003	3636	2275	563	1
shovel	2553	747	8	7	1	1	3	0	0	0	0
show	2554	141451	4340	7025	1502	1286	1035	4439	838	183	2
shy	2555	1496	16	109	39	30	17	23	25	1	0
si	2556	1105	2	4	1	0	4	5	0	0	0
sick	2557	2557	41	343	82	66	44	78	101	3	0
sickness	2558	520	8	93	12	7	3	11	14	2	0
side	2559	79278	2327	2145	840	609	614	755	467	257	0
sight	2560	3863	39	456	75	81	38	98	61	5	0
sign	2561	61577	2603	4770	822	752	318	2631	437	186	1
signal	2562	365284	24199	7804	2120	72	63	13879	59	13	0
significant	2563	66206	4992	1888	377	338	209	2029	78	49	1
significantly	2564	12375	250	489	92	118	81	238	46	10	0
sikh	2565	1901	4	0	2	0	0	1	1	1	0
silence	2566	3255	140	311	82	66	57	77	49	5	0
silent	2567	2669	101	161	47	52	29	69	40	8	0
silver	2568	9196	274	217	162	77	54	216	39	1	0
sim	2569	763	1	39	5	3	1	2	7	0	0
simply	2570	8724	209	992	198	180	174	249	155	13	0
since	2571	118716	4838	7562	2185	1788	1132	3717	1563	167	4
singh	2572	2851	0	1	0	0	0	2	0	2	0
single	2573	44865	444	1369	397	258	233	573	203	21	0
sink	2574	22700	1594	599	173	28	35	867	20	6	0
sir	2575	3342	2	97	4	14	3	47	5	0	0
sister	2576	8759	92	573	124	126	104	122	128	17	0
sit	2577	16878	382	1917	458	321	216	355	428	25	0
site	2578	39026	948	1303	269	311	186	371	244	85	0
situ	2579	1004	8	3	0	0	2	4	1	0	0
six	2580	1186	2	3	8	3	2	52	0	6	0
size	2581	76889	539	1709	194	116	86	1940	170	5	0
sized	2582	5178	67	59	29	17	14	82	19	3	0
sk	2583	681	3	2	10	0	1	5	0	0	0
ski	2584	779	32	2	5	0	0	7	0	0	0
skip	2585	2236	23	49	32	9	12	17	36	2	0
skipper	2586	3030	2	21	30	9	22	104	16	2	0
sky	2587	3726	107	143	41	36	21	60	25	6	0
slab	2588	2420	71	17	7	3	4	7	3	0	0
slam	2589	3930	324	167	63	25	20	18	21	24	0
slap	2590	2438	81	105	38	20	24	16	32	3	0
slash	2591	1560	41	81	43	9	10	33	13	2	0
slaughter	2592	1476	35	135	41	30	33	11	27	3	0
sleep	2593	10396	132	623	162	97	103	71	154	3	0
slight	2594	1917	58	124	34	34	17	47	19	4	0
slightly	2595	6920	292	204	106	28	29	177	44	11	0
slow	2596	15112	257	638	232	142	93	513	116	18	0
slowly	2597	3402	59	81	61	23	52	47	40	1	0
sm	2598	1179	6	44	2	20	3	17	5	0	0
small	2599	75702	999	2190	616	516	465	1060	458	38	1
smart	2600	19450	146	472	84	81	73	189	78	3	0
smartphone	2601	19337	84	136	65	14	11	125	22	1	0
smell	2602	2056	19	54	40	15	24	30	50	0	0
smoke	2603	4269	88	212	59	28	27	56	31	5	0
snag	2604	679	8	12	5	4	7	3	5	0	0
snake	2605	1768	18	71	38	39	9	12	26	0	0
snap	2606	2919	93	65	39	8	12	30	14	2	0
so	2607	196621	4565	18614	2879	3029	2656	3308	2365	530	0
social	2608	65508	1022	4137	770	989	677	1484	601	91	1
society	2609	25304	446	3118	531	782	320	1044	306	153	1
socio	2610	2716	21	731	49	170	62	102	36	3	1
sodium	2611	3675	16	29	4	4	2	5	2	0	0
soft	2612	7515	111	324	57	56	52	185	70	5	0
soften	2613	882	28	19	11	6	8	17	3	0	0
software	2614	53036	131	174	71	69	14	243	37	2	0
sol	2615	663	7	2	3	2	0	55	3	0	0
solicitation	2616	22321	1	6	0	1	0	0	0	0	0
solid	2617	13347	118	474	81	58	57	139	70	7	0
solidarity	2618	2141	177	243	21	63	49	41	11	12	0
solution	2619	83432	816	2536	303	520	259	1547	258	72	0
solvent	2620	4153	85	4	4	0	1	4	0	0	0
some	2621	149857	5633	18396	3424	3313	2481	3627	2795	544	1
somebody	2622	1766	34	642	67	51	21	31	33	0	0
someone	2623	12795	136	945	257	158	215	242	296	13	0
sometime	2624	1498	10	199	18	32	46	20	22	2	0
somewhat	2625	1794	55	83	24	19	10	77	28	1	0
somewhere	2626	1970	35	206	43	15	27	24	34	3	0
son	2627	24066	257	1616	323	215	168	321	209	76	0
song	2628	15812	38	762	189	205	386	196	123	0	0
soon	2629	36886	914	2201	412	401	349	618	237	128	0
sop	2630	1514	0	1	1	1	3	4	32	2	0
sore	2631	668	13	67	17	6	5	5	11	2	0
sorry	2632	1579	27	178	35	19	24	30	44	2	0
sort	2633	9309	246	731	169	101	81	201	105	11	0
soul	2634	3015	44	537	65	64	79	52	32	12	0
sound	2635	15871	202	675	149	125	140	260	129	8	0
soup	2636	1164	10	75	20	7	5	32	15	1	0
source	2637	287742	8910	5133	1197	720	398	6057	634	291	2
south	2638	18441	1483	2581	360	702	325	530	181	59	2
southern	2639	7794	1243	656	124	146	122	281	52	162	0
sow	2640	2306	118	96	22	18	16	25	24	5	0
sp	2641	5810	125	38	7	2	0	38	3	0	0
space	2642	55335	456	1250	403	244	188	536	375	23	0
span	2643	6593	93	257	29	32	14	209	25	3	1
spare	2644	8161	300	369	85	53	62	191	85	17	0
speak	2645	43135	1668	8548	942	1377	543	1216	597	150	1
special	2646	54780	1605	3335	344	568	219	1339	252	198	1
specialist	2647	7432	137	181	102	77	46	199	45	8	0
specific	2648	27506	362	637	151	193	98	306	111	27	0
specification	2649	10960	22	66	21	14	9	31	24	1	0
spectacular	2650	4474	490	145	35	14	15	335	12	3	0
speculation	2651	3373	110	272	81	45	24	48	36	6	1
speech	2652	13902	646	1009	184	248	115	352	124	34	0
speed	2653	30447	317	478	197	140	107	297	111	9	0
spell	2654	3513	48	206	75	54	55	93	64	1	0
spend	2655	27646	549	2240	622	436	248	538	475	87	0
spin	2656	4720	24	67	29	17	19	85	15	12	0
spiral	2657	2108	34	46	23	26	27	7	11	5	0
spirit	2658	8599	111	835	130	176	178	188	92	7	0
spiritual	2659	2582	64	391	39	47	48	82	27	5	0
split	2660	7537	95	142	78	47	39	87	34	7	0
sponsor	2661	9714	301	1252	252	216	161	379	101	16	0
sport	2662	28294	279	1384	479	308	563	852	215	47	0
spot	2663	30191	348	735	326	149	126	248	131	16	0
spray	2664	6209	76	52	38	9	10	21	34	1	0
spread	2665	31774	715	1954	388	220	270	721	234	71	0
squad	2666	4772	86	433	155	78	113	145	41	10	0
square	2667	10320	397	226	85	58	34	124	71	17	0
squeeze	2668	1369	27	51	20	12	13	14	21	1	0
stable	2669	9804	179	390	86	78	62	182	41	48	0
stack	2670	6519	26	33	9	4	5	13	6	1	0
stadium	2671	6025	217	559	327	178	183	133	95	23	0
staff	2672	33063	624	4083	756	571	209	939	512	78	0
stage	2673	38886	1063	1585	522	481	409	813	329	43	1
stakeholder	2674	11238	35	3849	247	553	218	395	164	13	0
stand	2675	59184	1580	3371	741	606	528	1502	416	74	1
standard	2676	40689	755	2133	387	465	260	1097	285	41	0
star	2677	27839	319	903	411	242	235	329	145	8	0
start	2678	183128	6106	8261	2212	1395	1199	4986	1602	288	0
stat	2679	935	5	19	5	5	2	6	3	0	0
state	2680	352743	6661	47331	2429	4613	826	5701	866	271	3
statement	2681	101636	2987	9328	941	1381	496	4319	509	837	2
states	2682	3599	0	142	0	0	0	247	1	0	0
station	2683	62365	798	2003	492	460	268	408	320	79	0
statistic	2684	4536	485	438	101	92	92	132	105	18	0
stay	2685	35892	602	1970	458	330	294	473	370	60	0
steady	2686	85652	64	2794	136	32	31	5510	21	4	0
steam	2687	4953	66	53	20	8	5	19	13	1	0
step	2688	70875	1979	2648	498	538	277	1148	271	178	0
stiff	2689	863	24	360	27	19	12	18	12	0	0
still	2690	52952	1986	6401	1335	1264	1032	1082	1141	171	1
stimulation	2691	1666	5	16	1	5	2	2	4	0	0
stint	2692	2077	5	56	22	12	34	42	7	2	0
stock	2693	1009452	63183	21275	6611	141	184	48619	157	2	0
stoke	2694	835	35	78	22	10	6	11	5	2	0
stop	2695	38922	1305	3632	875	629	440	530	571	118	1
storage	2696	39785	190	288	72	62	26	167	100	37	0
store	2697	47927	289	498	168	89	92	566	133	16	0
storm	2698	6370	306	669	160	107	95	117	93	57	0
story	2699	33504	1581	1857	552	374	288	1038	332	91	0
straight	2700	7009	129	339	156	60	42	113	75	2	0
strait	2701	690	199	64	7	4	3	19	2	0	0
strange	2702	1803	53	288	49	47	20	36	40	3	0
strategic	2703	19979	978	1242	128	266	133	651	93	52	0
streamline	2704	2774	11	65	25	15	15	58	36	4	0
street	2705	23637	665	1345	346	271	209	223	194	23	0
strength	2706	135725	8262	3703	492	166	83	4712	77	16	0
strengthen	2707	28110	1142	1335	165	414	113	1036	118	95	0
stress	2708	20550	1978	2373	132	427	75	391	143	115	0
strike	2709	20738	1242	1985	520	319	167	501	225	130	0
string	2710	3506	71	68	46	15	27	57	26	6	0
stroke	2711	4429	58	122	49	30	35	79	39	0	0
strong	2712	55329	1679	2531	525	582	256	1451	314	86	0
strongly	2713	6000	427	449	59	115	63	155	42	53	0
structural	2714	7230	85	160	20	64	33	85	36	5	0
structure	2715	55799	432	1645	206	316	218	429	225	23	0
struggle	2716	12383	365	1086	374	352	342	274	262	27	0
student	2717	96872	714	4576	1097	1090	364	2198	837	127	0
study	2718	78751	1798	1685	619	466	240	1050	452	58	2
stuff	2719	3007	41	155	56	30	41	46	45	0	0
stumble	2720	676	20	66	25	8	7	17	15	0	0
stunt	2721	1246	21	74	20	25	13	11	12	2	0
style	2722	11843	149	574	140	84	105	265	132	4	0
sub	2723	34367	43	770	194	277	54	201	308	23	0
subjective	2724	626	4	18	4	1	5	7	3	0	0
submission	2725	29102	48	728	85	95	50	244	43	2	0
subscription	2726	5243	4	128	18	19	16	18	3	1	0
substance	2727	8496	90	246	53	49	36	72	39	0	0
substantial	2728	9089	82	227	48	48	35	126	36	11	0
subtle	2729	1041	4	51	9	9	11	19	6	0	0
suburb	2730	1645	107	80	32	42	187	59	96	7	0
subway	2731	837	45	3	0	2	1	2	0	0	0
succeed	2732	5379	189	1009	178	159	93	152	94	55	0
successful	2733	17655	422	1286	247	245	173	527	124	40	1
successive	2734	2443	48	231	51	42	27	95	15	2	0
successor	2735	1665	59	270	55	42	35	32	29	9	0
such	2736	206669	4001	10064	2023	2289	1767	4941	1876	271	2
sudden	2737	3843	75	265	41	35	34	117	28	3	0
suddenly	2738	3572	66	383	61	34	42	69	40	5	0
suitable	2739	10137	138	134	39	37	35	163	46	6	0
summary	2740	120468	2571	3071	367	21	11	5567	9	2	0
summer	2741	10840	327	298	71	42	60	54	13	14	0
summit	2742	7135	637	701	165	259	46	181	72	61	0
sun	2743	4417	104	457	51	47	38	121	25	2	0
sunday	2744	841	6	30	7	3	5	30	3	0	0
sunflower	2745	815	17	3	5	1	10	6	22	0	0
super	2746	9513	80	268	80	47	33	155	32	2	0
superb	2747	956	16	41	21	11	3	33	5	1	0
supermarket	2748	1304	37	49	96	27	49	156	36	0	0
supervisory	2749	1124	25	59	4	7	8	20	7	0	0
supply	2750	105714	1649	2537	531	518	467	968	373	94	0
support	2751	199722	5194	10708	1583	2538	1021	3382	957	668	6
supportive	2752	2207	51	157	14	26	18	57	27	1	0
supposedly	2753	553	28	94	13	10	13	22	11	0	0
surcharge	2754	895	1	18	6	0	3	10	1	0	0
sure	2755	18881	300	1905	308	303	324	291	302	29	0
surely	2756	3001	57	245	34	46	93	82	29	2	0
surface	2757	62852	309	264	53	47	48	120	74	12	1
surgeon	2758	2475	19	59	51	15	8	28	19	1	0
surplus	2759	4272	114	161	25	24	39	169	10	2	0
surprise	2760	7828	182	467	147	112	82	115	88	3	0
surprisingly	2761	1468	23	96	22	19	21	27	25	0	0
survey	2762	22172	383	512	207	117	102	269	131	48	0
suspect	2763	13735	516	4406	769	779	253	1332	738	71	0
suspicion	2764	1812	70	213	60	50	22	61	36	6	0
sustainability	2765	5761	36	363	41	87	41	188	24	4	0
suv	2766	3692	3	79	7	9	4	21	17	3	0
sweep	2767	3238	82	186	74	38	30	84	46	5	0
sweet	2768	5085	72	144	67	31	32	78	42	1	0
swiftly	2769	1124	39	108	26	27	19	29	18	2	0
swim	2770	988	12	34	33	18	6	37	17	2	0
swiss	2771	1965	267	76	46	18	8	63	8	1	0
switch	2772	22605	183	207	107	54	42	108	107	7	0
sword	2773	992	24	92	21	8	7	51	10	1	0
symbol	2774	5916	112	119	35	56	10	137	50	9	0
synthetic	2775	5649	27	16	2	4	2	53	4	0	0
system	2776	250178	2967	4667	988	1268	656	2253	692	148	0
systematic	2777	1786	79	51	14	16	19	36	12	11	0
systemic	2778	2164	23	93	12	26	2	26	12	0	0
tab	2779	3204	7	28	6	5	4	24	4	0	0
table	2780	35681	578	1238	378	188	130	1129	170	36	0
tactical	2781	1214	41	99	19	19	12	15	13	5	0
tail	2782	3189	7	69	15	15	7	24	18	1	0
take	2783	332298	6832	19735	4398	3810	2611	8593	2945	774	5
taking	2784	817	17	67	9	13	14	23	8	3	0
tale	2785	2328	24	141	46	30	20	44	32	0	0
talented	2786	3286	18	196	35	31	53	110	20	8	0
talk	2787	44830	3673	3184	736	564	425	665	611	556	0
tandem	2788	797	4	104	9	9	5	21	3	0	0
tank	2789	15750	329	327	80	65	47	212	82	17	0
target	2790	56688	1940	2159	602	537	501	678	284	311	0
taste	2791	5490	65	196	77	23	31	123	51	1	0
tax	2792	258800	422	6407	734	446	275	11874	429	34	1
taxi	2793	3809	47	114	111	45	23	33	255	2	0
taxis	2794	12692	145	607	163	136	60	365	145	9	0
tdp	2795	1620	0	0	0	0	0	0	0	0	0
tea	2796	14366	297	57	340	15	37	2091	101	21	0
team	2797	107983	1734	5527	2195	1491	1462	2500	982	354	0
tech	2798	20244	132	304	66	26	14	143	36	5	0
technical	2799	158952	14002	3599	1474	313	174	6983	214	52	0
teen	2800	1827	27	42	31	10	15	8	4	0	0
teenager	2801	2050	65	192	48	20	20	24	31	5	0
tell	2802	86459	3892	8621	2482	1946	1034	1466	1734	790	0
temper	2803	1217	11	80	22	11	15	19	10	0	0
temporarily	2804	2844	87	122	38	26	19	117	18	3	0
temporary	2805	9828	180	284	69	73	35	145	66	10	0
ten	2806	1281	343	100	68	41	21	33	29	15	0
tenant	2807	4030	4	102	44	22	15	22	90	0	0
tend	2808	4867	93	296	111	63	64	109	102	3	0
tender	2809	266693	341	334	271	99	162	950	64	5	5
tennis	2810	3432	41	201	50	26	16	144	1	8	0
term	2811	189134	5344	6874	1807	1276	858	6627	650	135	5
terminal	2812	28420	302	532	49	46	9	227	14	5	0
terrible	2813	1171	69	1141	46	28	14	35	23	6	0
tesla	2814	890	0	1	0	0	0	11	0	0	0
test	2815	88461	1401	2407	728	319	310	1600	421	67	0
text	2816	124670	259	364	95	73	19	154	48	4	1
th	2817	2056	73	76	22	17	4	61	0	0	0
than	2818	565242	14691	18474	4019	2086	1146	21681	1855	337	4
thank	2819	25338	453	2346	297	476	262	342	217	75	0
thankfully	2820	688	5	41	10	5	5	10	2	0	0
that	2821	1638990	56547	177142	27284	30669	18272	36597	19454	4031	20
the	2822	17038852	558645	943329	171578	160090	89619	461757	94340	31335	184
theft	2823	4188	48	491	130	86	62	64	108	6	0
their	2824	439912	11367	41134	8723	8364	5585	10899	5699	1657	4
theme	2825	8498	104	1138	86	255	91	324	87	2	0
themselves	2826	15772	391	2286	403	427	342	486	319	59	0
then	2827	113392	3043	6488	1913	1203	1217	3280	1352	145	1
theory	2828	4099	120	175	47	48	30	101	20	4	0
therapeutic	2829	8577	95	67	3	4	1	33	7	1	0
there	2830	347821	13144	24338	4937	4261	3346	11042	3267	536	1
therefore	2831	24168	612	3681	460	683	381	953	466	44	0
these	2832	187322	3841	10644	1789	2419	1569	4732	1670	335	1
they	2833	524710	12868	59210	12620	11611	8512	12971	10965	1839	2
thing	2834	47912	698	6654	1082	908	791	837	829	31	0
think	2835	50774	1459	5286	1015	847	799	1086	893	85	0
third	2836	6731	75	401	68	31	19	569	10	4	0
this	2837	1113580	32143	55404	10228	9981	6782	33582	6875	1325	10
thorough	2838	2234	37	260	48	31	23	40	25	4	0
those	2839	97653	2944	10835	2058	1898	1408	3102	1455	257	0
though	2840	35953	466	2371	558	405	215	763	273	34	0
thought	2841	7541	133	517	105	75	59	278	78	13	0
thousand	2842	11397	925	762	282	249	158	276	140	62	0
threat	2843	17537	1477	1606	373	336	158	479	197	130	0
thrilled	2844	2609	3	35	10	12	4	27	3	0	0
thriller	2845	2142	12	20	10	7	7	19	3	1	0
throat	2846	1710	33	93	35	5	14	37	17	3	0
through	2847	202813	4179	10684	2226	2368	1758	4441	1446	322	0
throughout	2848	17209	313	616	141	207	123	456	112	23	0
ticket	2849	17377	106	937	266	134	92	173	64	8	0
tide	2850	2364	28	180	20	19	7	30	7	1	0
tiger	2851	5044	36	44	8	9	8	36	22	3	0
till	2852	44058	173	1597	61	148	48	509	38	26	0
tilt	2853	1855	13	44	13	6	4	12	8	0	0
time	2854	743580	31725	26534	6638	3212	2552	26550	2913	401	1
timer	2855	1273	0	18	1	0	4	10	1	0	0
timing	2856	5594	70	93	24	30	18	39	26	1	0
tip	2857	10389	72	278	90	72	54	121	89	4	0
title	2858	53416	1421	1683	811	352	381	974	386	23	0
tm	2859	1454	1	0	0	5	7	0	0	0	0
to	2860	7680418	188039	428276	79271	74343	47348	213774	51591	11266	86
today	2861	366306	22362	11831	2204	1025	550	15697	593	194	0
toddler	2862	781	18	31	14	8	5	3	16	0	0
together	2863	44691	635	2735	616	740	476	1253	402	62	0
toilet	2864	7795	11	200	46	55	33	38	59	1	0
toll	2865	10384	498	402	132	52	40	153	67	30	0
tomorrow	2866	7305	93	708	120	159	171	468	97	12	0
tone	2867	3681	95	123	47	34	25	44	28	4	0
tonight	2868	1547	50	63	28	15	24	46	15	4	0
too	2869	55421	719	2774	739	510	351	1227	493	43	0
tooth	2870	5373	42	116	34	17	17	66	35	2	0
top	2871	406936	12344	9885	2574	630	570	15078	533	134	0
torture	2872	2153	212	197	57	113	47	70	160	7	0
total	2873	1172346	11415	28798	3406	662	396	55081	390	126	1
totally	2874	3661	171	428	59	55	58	141	42	6	0
touch	2875	26377	278	708	176	130	130	220	136	10	0
tough	2876	9825	331	462	265	119	114	148	96	19	0
tour	2877	11369	269	566	258	190	203	578	86	15	0
tournament	2878	10191	252	710	288	213	306	641	136	34	0
tow	2879	1244	13	58	18	11	5	14	10	1	0
toward	2880	7338	530	396	30	84	16	54	24	37	0
towards	2881	40277	913	2656	413	635	439	1187	283	102	0
town	2882	45554	1360	1967	755	564	352	264	444	24	1
toxic	2883	2454	56	99	41	19	19	41	13	2	0
toy	2884	4239	32	85	23	9	11	37	22	0	0
tr	2885	3004	175	65	25	0	0	90	0	0	0
trade	2886	319584	19653	8514	1912	693	473	15382	358	182	0
traditional	2887	16132	260	2167	224	342	289	483	195	31	0
traditionally	2888	2091	51	54	34	27	24	49	11	6	0
traffic	2889	31023	227	1317	297	164	133	333	242	68	0
tragic	2890	1324	78	153	29	36	37	35	13	11	0
trail	2891	143053	5846	2421	726	63	36	5363	65	1	0
trailer	2892	5938	23	162	10	13	13	27	10	1	0
train	2893	36717	448	1862	465	382	235	591	241	85	0
trainer	2894	2269	20	99	34	24	17	69	27	6	0
training	2895	39706	416	2763	594	705	323	1040	388	103	0
transcript	2896	1945	8	7	10	3	2	3	1	2	0
transfer	2897	38764	938	1465	443	334	192	897	235	93	0
transform	2898	10190	70	545	107	192	94	222	76	3	0
transformation	2899	9280	34	433	55	261	65	204	59	1	1
transmission	2900	28214	159	467	97	78	59	180	66	30	0
transparent	2901	7340	109	487	69	108	18	110	30	38	0
transport	2902	33334	918	924	361	296	225	547	308	58	3
trauma	2903	2245	26	144	18	24	7	43	22	0	0
traumatic	2904	916	9	55	4	5	11	6	7	0	0
travel	2905	43108	996	1944	586	394	392	1487	396	88	0
treasure	2906	1012	40	62	12	22	17	58	8	5	0
treasurer	2907	891	3	63	32	18	17	30	13	0	0
treasury	2908	1761	24	154	11	27	5	36	4	3	0
treatment	2909	59693	636	1770	389	428	226	596	414	92	0
tree	2910	15623	204	364	212	138	101	460	213	23	0
trend	2911	51715	4587	1532	336	192	109	1350	145	12	0
