		Australia	New Zealand	Sweden	Austria	Belgium	Denmark	Norway	Finland	Netherlands	Czech Republic
over	2027	668597	67842	41008	3070	25482	9938	13969	11512	9514	2257
overall	2028	43551	3692	405	100	3097	890	348	333	439	196
overhaul	2029	5196	555	23	12	114	6	10	20	22	14
overnight	2030	11780	2155	12	11	715	75	47	107	23	22
oversight	2031	7100	378	7	3	413	6	9	15	24	2
overwhelming	2032	3958	659	8	1	163	16	23	10	30	8
overwhelmingly	2033	1489	237	3	4	79	2	8	0	15	2
own	2034	243243	24627	9543	305	8707	4830	14995	5472	2686	928
owner	2035	74056	10254	3213	158	2144	898	1987	1269	423	426
oxide	2036	4275	84	45	1	243	9	13	19	82	11
oyster	2037	2468	387	2	0	68	0	9	0	0	0
oz	2038	5497	77	105	0	20	34	0	0	5	2
pace	2039	17612	2591	207	25	519	96	50	73	155	84
pack	2040	19534	3661	186	2	697	39	88	7	260	11
package	2041	32866	2448	264	77	1981	243	97	298	337	116
pact	2042	6778	533	873	8	354	45	80	39	239	84
pad	2043	4846	485	30	6	101	29	10	2	63	1
page	2044	73890	5794	999	25	3245	450	693	440	587	46
pain	2045	17778	2989	479	2	673	71	48	15	56	15
painting	2046	8031	1310	32	0	959	15	0	1	54	91
pal	2047	1566	103	361	612	38	19	39	6	4	2
palette	2048	1178	124	2	0	8	2	0	0	18	2
palliative	2049	1861	153	0	0	75	2	0	0	1	3
pan	2050	4417	1046	22	5	155	19	85	5	42	6
pandemic	2051	34733	3622	591	68	724	710	715	1114	389	345
pandora	2052	166	3	20	0	4	1289	0	5	2	0
panel	2053	31522	2295	275	32	1829	308	90	130	378	57
panic	2054	2956	897	8	1	68	3	3	5	14	20
pantry	2055	1800	255	0	0	0	1	0	0	3	0
pany	2056	921133	25782	82018	6057	16932	27464	35017	29723	13025	3456
paper	2057	41006	4004	1955	143	2857	371	460	2109	301	190
par	2058	6675	936	141	120	93	127	1077	101	108	5
parallel	2059	5149	375	147	15	479	89	89	30	141	8
parcel	2060	3636	673	28	118	219	17	6	16	80	23
parent	2061	47030	8210	1119	212	3199	104	834	963	210	111
park	2062	62649	10572	672	21	3720	895	132	142	276	236
parkinson	2063	1477	169	90	0	68	90	0	88	1	0
parliament	2064	10756	716	92	9	2028	19	24	26	53	490
parliamentary	2065	5445	708	35	1	1323	12	14	17	14	87
parson	2066	1044	226	6	0	40	0	0	2	0	0
part	2067	226431	27970	5493	333	19562	3461	3558	2536	3230	1300
particularly	2068	39861	5915	425	44	3608	305	296	194	305	63
partner	2069	175724	7051	4367	207	6116	1841	2655	1639	904	360
partnership	2070	77502	2611	1498	64	4874	1006	601	470	587	87
party	2071	73371	11029	1307	203	6201	1380	1776	387	1002	1412
pass	2072	73765	9118	3392	280	3527	1058	1484	1151	1185	275
passion	2073	16905	1947	32	13	753	47	43	43	152	11
passionate	2074	9362	1269	33	3	398	48	64	1	126	3
past	2075	1419238	58221	364785	23668	67499	71479	101281	85323	55656	4401
pat	2076	1313	298	12	0	17	5	0	1	2	46
patent	2077	152003	477	15570	1086	2432	3597	3021	5911	4867	8
path	2078	21245	2355	639	58	812	76	64	96	244	54
pathway	2079	7508	1041	34	2	490	40	14	11	118	1
patible	2080	3086	134	179	0	394	50	71	12	50	21
patience	2081	2317	486	2	1	169	7	5	6	9	4
patient	2082	86524	5644	4121	165	6559	2213	954	449	1137	326
pay	2083	214078	24267	11365	916	11211	4004	6751	7396	2678	862
payday	2084	857	157	2	0	10	31	2	1	3	0
payment	2085	108332	5277	6685	751	6832	2821	5125	3015	1239	421
pe	2086	1416	32	26	0	144	39	6	9	8	1
pen	2087	7921	1777	295	3	184	157	1059	43	48	26
pende	2088	9037	464	127	22	616	116	207	44	46	26
penny	2089	4408	358	13	0	105	9	0	1	11	10
people	2090	359302	78353	2276	77	30427	1530	888	1679	2907	2406
per	2091	674638	57609	88185	6933	24318	22898	40619	29784	16647	1174
perception	2092	4294	702	43	18	396	17	14	6	48	19
perfect	2093	28611	3843	154	10	507	83	22	56	192	17
perfection	2094	1185	204	0	0	101	1	3	2	8	0
perfectly	2095	5960	963	48	5	143	36	8	11	80	9
perform	2096	49853	4888	1466	87	2544	565	670	277	660	144
performance	2097	707788	21050	75291	5882	19014	18289	22413	20842	15989	1050
perhaps	2098	15782	3726	54	20	603	10	5	16	182	45
period	2099	638650	27001	182626	11347	37730	40037	55483	46326	27254	2145
perk	2100	1376	133	2	2	20	0	0	1	12	3
permanent	2101	11006	1540	184	8	1342	116	143	113	119	69
permit	2102	14325	1390	384	24	2312	282	189	149	128	149
person	2103	60192	11692	3174	396	8056	5601	568	5277	589	259
personal	2104	58879	5241	2035	127	4514	704	222	253	757	134
personality	2105	5201	1117	14	6	195	3	5	2	46	88
personally	2106	6093	1089	36	12	293	70	30	25	31	24
personnel	2107	11762	708	1050	86	800	303	642	1031	125	154
perspective	2108	48614	2065	7330	167	2172	1422	2112	1821	1360	82
pest	2109	4377	1157	0	0	346	1	5	0	0	19
pete	2110	12938	1985	44	0	404	37	57	6	79	31
petition	2111	64140	10202	503	34	4537	279	293	304	267	285
petitive	2112	22905	1994	449	20	1130	344	275	262	198	48
petitor	2113	10376	1260	87	11	277	60	46	18	106	34
phase	2114	33971	1643	2849	66	2908	1473	1011	426	702	95
phenomenal	2115	1649	284	1	0	58	1	0	0	10	0
phone	2116	69774	8390	9889	290	3233	2150	2520	2280	1524	712
photo	2117	32682	4469	56	11	835	67	20	54	711	577
php	2118	1987	1	0	0	16	1	6	3	0	9
physical	2119	66153	5977	22110	1754	4028	4530	4750	5432	2635	269
physically	2120	4924	944	31	3	319	49	45	22	35	5
physiological	2121	901	39	0	1	60	16	0	9	95	0
pic	2122	1875	256	4	0	538	0	3	0	17	0
pick	2123	40646	7635	147	9	946	100	64	102	252	40
picnic	2124	2989	402	1	0	54	0	0	1	1	1
picture	2125	29081	10303	418	9	1588	60	103	116	286	51
pie	2126	3955	708	1	7	50	0	0	0	20	2
pile	2127	7911	1281	108	3	317	36	8	15	113	13
pine	2128	2314	722	55	0	41	32	2	12	1	10
pit	2129	6254	658	11	5	99	30	8	17	22	14
pizza	2130	6590	664	15	1	46	4	3	289	51	10
place	2131	284162	31965	23668	1826	20736	6168	8737	5908	4762	3614
plain	2132	10928	2130	51	17	463	12	8	8	80	61
plan	2133	190971	24392	3939	503	13523	2688	3444	3191	2196	1470
plane	2134	11684	2313	124	9	217	62	8	54	150	142
planet	2135	8367	1594	177	29	423	25	846	47	81	5
planning	2136	46696	2030	616	47	3039	242	103	295	346	36
plant	2137	95132	9509	4217	821	3717	2916	3000	2932	1001	1109
play	2138	184308	36719	706	66	5158	463	305	234	752	302
player	2139	103157	20924	947	68	1028	511	877	200	308	208
plead	2140	8915	1848	425	1	953	0	7	0	13	25
please	2141	42973	9571	8493	624	27676	5927	6538	2992	1820	126
plement	2142	7131	336	339	13	512	131	67	112	61	8
plementary	2143	3687	138	156	4	313	43	104	26	64	7
plenty	2144	20825	7585	8	1	366	18	4	8	79	8
plete	2145	88256	8806	4157	306	5465	2916	3177	1603	1340	315
plex	2146	30073	2019	421	17	1554	153	329	107	426	86
pliance	2147	27065	1450	265	59	2396	778	198	139	432	28
plicated	2148	1987	309	13	3	75	7	0	0	32	17
plight	2149	952	235	3	0	50	0	0	1	9	2
pln	2150	2474	0	94	5	8	0	1	2	2	190
plus	2151	42716	4939	5505	578	1763	1462	688	1458	993	128
pm	2152	69806	11096	425	28	6104	486	247	1459	85	506
pocket	2153	8280	1321	33	1	216	6	4	3	68	3
pod	2154	1803	442	13	0	85	3	5	5	14	136
poetry	2155	1891	340	2	2	255	26	0	0	7	6
point	2156	438260	29669	64321	4917	20019	14071	17919	15335	8395	1481
poke	2157	939	262	0	0	7	1	0	0	12	0
police	2158	119501	28466	328	7	17881	35	79	103	355	1207
policy	2159	78733	8368	584	40	12433	722	241	882	759	479
politic	2160	13647	2314	62	6	707	6	18	13	59	127
political	2161	38378	5793	315	31	4821	144	67	90	491	593
politically	2162	2567	424	13	2	193	1	0	1	23	27
pollution	2163	4415	760	76	2	944	16	86	27	39	24
poor	2164	17923	4029	98	11	1299	64	28	46	104	98
pop	2165	12941	2535	18	1	364	27	3	2	77	33
poppy	2166	840	285	0	0	74	0	0	0	0	6
pore	2167	973	93	5	0	35	1	0	0	5	0
port	2168	40226	5924	594	300	1720	163	211	453	232	14
portfolio	2169	67334	3193	6765	902	3962	2680	3012	1790	2454	256
pos	2170	1363	3	52	423	6	6	16	9	8	12
pose	2171	13135	1796	134	12	1220	141	32	55	130	108
position	2172	213251	8709	8609	398	6578	4254	4940	5513	3195	545
positive	2173	239743	10698	39630	3183	10295	9298	12674	11925	6510	700
possible	2174	55763	8291	1105	144	7234	1003	887	894	615	476
possibly	2175	8852	2136	28	11	514	31	5	31	109	62
post	2176	95094	10183	5885	1160	5962	1516	2114	1257	1609	931
postal	2177	2382	209	138	21	338	268	16	22	3	30
pot	2178	4989	2098	43	0	161	3	0	7	14	30
potential	2179	68668	6764	2141	126	6880	1435	1331	526	790	269
potentially	2180	16049	2597	143	11	1123	187	90	22	130	22
power	2181	144703	11517	3908	449	5972	2471	2229	1380	2087	1006
powered	2182	1257	171	2	0	32	5	9	5	29	0
powerful	2183	17079	2109	164	13	531	128	79	71	265	22
pr	2184	1774	107	182	52	285	61	49	28	19	476
pragmatic	2185	1014	189	8	0	100	39	3	1	1	9
pre	2186	49597	4625	4687	546	2897	2103	2410	1510	1273	186
precautionary	2187	754	160	97	4	205	52	43	99	43	0
precedent	2188	2170	290	22	1	119	23	46	5	39	10
precinct	2189	5010	1158	1	0	18	2	0	0	8	0
predictable	2190	1698	343	9	2	124	22	24	27	18	5
predictive	2191	3799	37	56	3	59	16	53	9	68	2
predominantly	2192	3897	391	150	3	187	33	23	14	89	8
pref	2193	245	7	6841	6	17	83	298	4	41	0
preferential	2194	845	84	619	0	128	249	141	20	5	11
premature	2195	1434	234	133	0	134	8	2	8	12	9
premiership	2196	11193	1113	1	0	13	1	0	0	0	2
premium	2197	225359	5999	34694	2814	6842	7293	10399	8050	5431	578
presence	2198	21838	1858	821	61	1059	393	549	198	442	69
present	2199	667909	17653	84072	6522	21898	18436	26265	20698	13174	2205
presentation	2200	29053	2821	3156	114	1938	1845	12081	842	398	120
presenter	2201	3552	347	8	5	136	7	61	11	18	1
president	2202	537396	7904	9745	322	6018	4372	2532	5772	1298	1445
press	2203	108220	4492	5017	572	3539	2738	3891	2528	1940	1950
pressure	2204	51629	6879	288	59	2181	259	158	155	553	192
presumably	2205	1343	339	5	5	23	2	0	2	24	5
pretty	2206	31530	8336	3	1	163	4	1	1	241	6
preview	2207	3738	202	9	0	37	6	22	0	35	1
previous	2208	445343	16150	67582	5815	17374	15835	24267	20982	11975	1284
previously	2209	85733	4972	5753	371	2511	1505	2662	1636	1001	287
price	2210	3627627	115930	841857	61699	144577	168675	246071	205197	120337	10090
pride	2211	9950	1269	45	0	378	14	8	1	27	24
primarily	2212	32351	688	3318	68	1744	991	695	527	559	128
primary	2213	34369	3237	1030	370	2481	491	3875	521	695	57
prime	2214	40457	6475	2918	638	2171	660	33	90	194	709
prince	2215	3226	724	14	0	144	11	9	1	6	4
princess	2216	3371	649	16	0	115	12	34	0	4	0
principle	2217	11690	1111	368	20	3757	256	132	156	200	42
prior	2218	100017	3320	1840	176	2216	1125	1587	582	589	36
priority	2219	23626	2731	312	14	3903	299	269	136	273	181
prison	2220	12217	3529	131	2	1893	5	0	10	133	319
prisoner	2221	3795	1170	26	0	440	0	0	6	42	55
pristine	2222	1393	238	0	0	12	1	3	1	4	0
privacy	2223	11822	1344	24	7	550	88	4	55	227	11
private	2224	112905	5751	2455	146	4718	2149	3676	1245	873	265
privilege	2225	5752	789	39	3	359	15	3	37	37	2
prize	2226	22022	2179	113	1	1140	82	8	14	44	79
pro	2227	22402	1612	278	35	787	366	413	197	333	736
probability	2228	9317	284	1004	75	262	158	267	236	205	25
probable	2229	1122	314	37	1	47	35	21	6	7	16
probably	2230	30258	7968	28	19	443	30	8	46	308	198
probe	2231	6986	687	81	14	156	4	9	19	136	11
problem	2232	59329	10595	497	57	4502	149	112	152	704	547
problematic	2233	1849	339	4	4	163	6	1	2	15	28
procedure	2234	17043	1206	675	57	8036	360	117	224	228	117
proceed	2235	38682	2243	1427	351	1540	1203	3426	1774	827	74
proceeding	2236	8106	781	123	43	1487	81	60	179	86	146
process	2237	131258	11196	3264	427	9620	1669	2321	2366	2362	300
processor	2238	23680	536	89	20	128	35	103	89	233	9
procurement	2239	10343	206	195	22	2951	166	270	278	21	44
produce	2240	106086	7863	7076	1041	5363	3325	2412	3294	2821	444
product	2241	369566	12271	26239	1679	15056	9156	5921	9539	5518	750
productive	2242	4960	638	16	2	309	35	21	120	45	9
profile	2243	326863	7728	51553	3579	9712	9584	13620	11012	8116	756
profit	2244	1025816	26997	155512	13755	33177	39348	53308	53519	27602	2687
progress	2245	31107	4013	891	69	5031	910	531	482	1151	59
progression	2246	3013	238	93	2	322	87	54	7	15	7
project	2247	226479	12413	6660	822	16358	4269	5962	2559	2392	1147
promise	2248	33264	5111	227	17	1812	109	100	126	386	230
promote	2249	37421	2742	249	39	4711	255	154	292	265	158
promoter	2250	2188	472	1	1	172	1	1	8	36	13
promotional	2251	4098	255	39	4	120	12	2	9	31	1
proof	2252	8040	944	256	25	566	133	82	71	126	16
prop	2253	29465	2366	8136	325	1062	1233	1932	1552	843	75
propaganda	2254	1108	202	8	0	129	0	0	3	40	20
proper	2255	7805	1148	23	6	780	19	9	20	86	8
properly	2256	7610	1292	19	2	758	37	18	26	53	14
property	2257	207865	21530	16636	1676	10350	3667	4773	2744	2300	347
prophet	2258	1603	77	7	0	10	0	0	0	2	0
proportion	2259	5751	979	119	16	790	152	70	329	60	28
proposal	2260	28011	3506	2763	62	11620	2317	1527	1480	509	453
proposition	2261	19731	461	2392	85	360	390	594	350	374	38
protect	2262	58378	5198	551	104	5202	251	244	219	568	157
protein	2263	14007	930	398	14	521	277	135	37	288	7
protest	2264	11440	2941	43	4	578	2	9	12	198	360
proud	2265	34625	3207	406	7	1777	337	362	126	284	18
provide	2266	441469	22066	10572	663	27398	5534	4784	5615	4691	689
province	2267	12539	1745	3898	1265	1777	2436	2828	3622	1166	238
prudent	2268	1270	215	5	5	121	17	6	4	17	4
psychological	2269	3082	575	13	32	374	3	5	13	78	16
pt	2270	2036	253	1	0	21	1	0	0	0	17
public	2271	177205	19856	6010	451	20191	3152	1891	3264	1641	1257
publication	2272	20885	882	2475	130	2766	1692	718	1489	521	16
publish	2273	46234	3204	5446	101	8111	2685	3300	6108	1715	309
publisher	2274	8340	375	388	4	368	82	157	326	583	32
pull	2275	23611	5452	44	6	561	51	4	20	151	108
pump	2276	15224	1714	556	178	324	72	31	103	100	29
punishment	2277	2259	462	6	0	204	1	0	1	53	37
purchase	2278	144274	5069	3513	372	2807	2903	12882	1775	1157	338
purpose	2279	38751	3467	1046	68	4759	1582	972	612	861	90
pursuit	2280	5297	908	19	2	302	25	4	4	45	2
push	2281	59735	6643	3963	447	1959	939	1093	1179	935	283
put	2282	208020	27510	8887	1007	8634	2318	2376	3331	3038	409
puter	2283	50170	1910	1705	14	1440	148	269	782	555	59
putt	2284	1337	417	0	0	0	3	0	0	0	0
puzzle	2285	2566	496	65	1	89	7	18	38	46	3
quad	2286	1406	480	8	0	101	1	0	1	15	0
quadrant	2287	1004	28	18	0	98	0	0	2	7	0
quality	2288	105462	7853	8133	624	7920	2545	3779	3502	2506	254
quarantine	2289	5282	1914	10	1	159	22	12	58	15	171
quarter	2290	377251	13134	97843	4566	11777	19089	42664	19879	11033	1104
quarterly	2291	42331	906	18071	604	748	3048	10759	3398	356	47
queen	2292	5406	992	0	0	420	2	5	0	24	5
query	2293	4511	377	36	2	18489	20	254	44	45	4
question	2294	65251	10755	767	110	9677	895	927	431	622	302
quick	2295	36468	3872	1871	295	1133	443	1007	1062	723	39
quickly	2296	34178	5245	182	24	1234	164	51	91	251	54
quiet	2297	8278	1675	29	4	139	63	0	8	35	8
quietly	2298	2600	593	1	0	33	1	0	0	25	2
quite	2299	31511	9632	45	14	854	41	4	59	310	132
quiz	2300	1873	934	8	0	173	0	0	6	6	1
quo	2301	1420	316	5	1	110	5	1	0	14	3
quote	2302	16175	1584	703	117	3377	219	767	315	188	142
race	2303	98912	14285	71	26	956	12	2	14	368	71
racer	2304	1767	345	10	0	30	0	0	0	23	5
racist	2305	2466	749	15	2	78	0	0	2	20	3
radar	2306	6392	626	188	11	119	87	12	10	33	70
radical	2307	3109	582	52	6	192	8	3	4	44	38
raft	2308	2008	514	3	0	59	0	0	1	1	5
rage	2309	2975	669	3	5	58	5	0	1	20	3
railway	2310	9484	920	248	56	837	87	136	98	65	192
rain	2311	24329	4655	25	0	156	19	5	20	39	23
raise	2312	88629	10342	991	254	5185	635	804	281	559	622
raising	2313	5676	512	56	5	118	79	16	8	5	23
ram	2314	5451	630	4	0	36	0	0	0	13	0
ramp	2315	7502	992	133	18	112	92	104	64	53	3
random	2316	3987	496	201	4	127	9	3	28	56	11
range	2317	265497	14404	37841	3383	13137	8984	12057	10071	6821	536
rank	2318	923250	24206	180618	13293	32303	36859	51297	43126	27211	1991
rapid	2319	12481	971	260	9	658	196	120	122	139	33
rapidly	2320	12864	1053	136	15	637	221	223	134	168	29
rare	2321	16743	2250	525	1	797	232	18	29	42	41
rarely	2322	3904	797	14	6	192	5	1	7	24	4
rat	2323	2162	732	81	75	103	13	0	7	3	8
rate	2324	634095	24365	100933	7796	25982	23140	28916	26352	15902	3167
rather	2325	33443	7702	115	55	1895	80	70	66	395	185
rating	2326	188395	2608	25021	971	5299	5443	6351	6781	3346	304
rational	2327	1060	165	18	4	73	7	8	0	8	6
raw	2328	9446	922	665	46	649	253	201	642	178	92
re	2329	36552	9744	2266	60	6024	1659	806	731	611	264
reach	2330	99443	8232	1470	257	4288	1051	1584	725	804	749
read	2331	74505	11191	1465	42	3391	838	1148	344	926	82
ready	2332	37678	5164	314	78	1373	238	316	162	246	186
real	2333	215721	11363	26948	1737	15232	2927	4807	3807	3496	509
realistic	2334	2680	581	10	5	249	12	4	9	34	28
reality	2335	21226	3173	301	16	1004	86	29	228	266	80
really	2336	112983	24710	189	10	3375	140	29	63	453	114
realm	2337	2183	173	25	0	170	11	4	20	52	0
reason	2338	40369	7901	567	120	3645	602	236	458	422	391
reasonable	2339	7726	1296	81	9	898	181	4	99	71	25
reasonably	2340	2886	675	4	11	262	25	14	18	26	5
rebate	2341	3369	150	3	0	62	24	0	2	3	2
rec	2342	463	19	6	1	367	2	754	0	0	0
recall	2343	10029	2189	67	12	1125	12	2	27	74	24
receive	2344	196762	14543	9175	836	13198	3879	5396	5100	2233	664
recent	2345	415525	12359	29362	1919	9485	6430	10404	8538	4999	530
recently	2346	107623	6248	938	91	2752	510	390	167	632	260
recession	2347	4466	426	6	10	121	9	3	15	9	25
recipe	2348	6180	1378	18	1	99	12	6	7	30	8
recipient	2349	14067	558	28	6	455	80	28	38	62	22
recognition	2350	20856	984	177	14	1768	102	129	117	122	18
reconciliation	2351	2322	107	93	13	177	10	46	45	8	5
reconstruction	2352	2800	199	64	5	178	41	87	4	49	116
record	2353	147246	14819	7528	1116	7314	2547	5470	3891	2779	913
recover	2354	18860	3185	396	55	1113	153	451	128	105	59
recovery	2355	66436	3836	9750	837	3928	2385	6228	3921	1342	125
recreational	2356	6856	807	272	2	182	9	1	11	3	2
recruit	2357	10435	953	504	1	799	171	87	79	29	22
recycle	2358	6035	933	57	64	809	97	180	42	44	11
red	2359	32907	5012	645	50	934	106	147	104	185	107
redeem	2360	1556	360	182	16	81	81	233	160	109	1
reduce	2361	95173	8743	3461	258	7316	2270	2722	1489	1416	232
ref	2362	516	153	892	0	292	10	27	0	1	0
referee	2363	3622	1774	11	0	27	0	0	0	3	13
referral	2364	3003	427	14	0	430	13	4	3	12	3
reflect	2365	78935	4250	7942	763	4367	2064	2801	2059	1028	255
reform	2366	19677	1636	82	22	3232	41	2	110	141	154
refrain	2367	824	135	24	6	115	57	9	19	28	10
refugee	2368	10012	1393	73	7	1775	9	11	30	145	244
refurbishment	2369	2985	245	20	8	577	29	33	1	61	5
reg	2370	3038	5	1	0	15	7	0	0	1	0
regard	2371	37199	3357	2918	141	29645	2527	3854	974	966	188
regardless	2372	8353	1161	132	3	513	63	24	34	78	26
regatta	2373	1224	642	0	0	54	0	0	0	0	0
regeneration	2374	2349	241	48	1	780	4	0	0	3	4
regime	2375	6263	1203	45	5	1282	30	10	11	158	303
region	2376	115777	10153	37584	2390	11349	7414	10038	7900	5888	1745
regional	2377	52334	4604	1009	92	3278	775	525	415	472	660
register	2378	60996	4372	8286	605	6767	3333	5116	4109	1416	801
regret	2379	3070	883	15	3	440	20	19	5	57	22
regularly	2380	11018	1878	43	2	999	34	36	25	61	56
regulation	2381	33819	2429	486	95	15396	3110	406	291	762	120
regulator	2382	13198	517	42	24	614	40	19	28	131	41
rein	2383	2268	392	11	0	31	1	1	2	11	2
rel	2384	24697	155	1626	64	158	238	409	249	139	5
relationship	2385	47623	5273	587	66	2930	273	379	440	467	111
relative	2386	815788	27999	247785	16111	38851	46450	63450	55599	31722	2076
relatively	2387	23727	2511	4798	183	1416	1200	856	1192	678	132
release	2388	238000	14921	11615	945	36890	5675	10645	10666	3592	1229
relevant	2389	18435	2974	406	52	5756	815	479	262	733	85
reliability	2390	7767	189	127	12	289	88	38	202	76	3
reliable	2391	13539	676	255	23	631	217	202	487	101	26
relief	2392	15267	1675	229	4	1146	84	76	8	80	30
remain	2393	111111	14389	2243	198	7519	1534	1889	1533	1124	581
remarkably	2394	1354	326	3	0	37	1	7	5	14	1
remember	2395	22497	5333	36	5	1016	24	0	10	130	71
remote	2396	19609	1075	326	12	398	103	85	222	217	17
renewable	2397	19774	745	546	68	1488	1352	777	300	214	120
renovation	2398	7387	577	156	13	552	71	78	700	17	20
rent	2399	17359	3000	974	32	1112	182	70	206	73	79
rep	2400	1421	218	3	2	93	0	0	0	16	53
repair	2401	25100	2351	336	16	1874	152	321	182	137	97
replace	2402	27613	4745	504	43	2668	253	276	238	288	283
report	2403	938992	41149	115363	7564	43601	35057	54613	41567	21886	2342
reported	2404	4107	114	40	3	51	56	55	14	4	1
reporting	2405	22966	1015	545	33	1703	1092	359	1132	358	30
represent	2406	223524	8255	21095	1559	7728	5206	8509	5086	3406	396
reproduce	2407	1116	131	10	1	90	25	0	2	3	0
reproductive	2408	1611	119	10	0	136	2	0	4	9	17
republic	2409	1930	182	14	1	352	10	0	9	27	1792
res	2410	799	45	13	1	194	26	21	6	28	3
rescue	2411	13026	3286	183	121	1165	43	40	137	29	39
research	2412	172164	7298	10702	659	13857	2703	2499	2295	2139	432
reserve	2413	31148	3465	1536	306	1734	934	1026	1328	256	162
resident	2414	60959	7763	177	6	5764	220	115	164	151	44
residual	2415	2133	119	40	2	149	18	80	18	50	1
resiliency	2416	1189	19	2	0	6	16	7	5	27	0
resolution	2417	39774	2395	1870	179	5010	1729	1138	1305	414	77
resolve	2418	12213	1383	3585	18	828	1453	1566	1738	113	27
resort	2419	30327	1147	180	12	241	7	4	73	56	67
respect	2420	55711	5759	13992	766	6542	2690	4020	2820	2047	349
respond	2421	30703	4209	172	25	2494	100	61	129	299	30
respondent	2422	6738	560	15	9	2354	35	11	98	29	171
response	2423	52853	6839	497	51	6994	566	325	250	532	63
responsibility	2424	39058	3211	695	365	3362	1912	361	820	381	87
responsible	2425	50351	2771	885	334	4398	603	381	833	613	110
rest	2426	142844	9263	13823	1135	5033	3396	5153	4929	3106	279
restaurant	2427	46888	3804	425	122	682	177	123	500	140	180
result	2428	241448	23335	14761	2365	18721	8158	18601	7761	5504	1161
retail	2429	78796	4063	4790	239	3199	831	695	1052	1464	597
retailer	2430	29778	1968	2007	17	440	210	461	356	311	120
retrospective	2431	1045	80	21	2	82	36	0	4	1	4
return	2432	1530571	52581	208213	20818	56925	51188	68661	65615	41908	3041
reunite	2433	1613	411	1	0	113	1	0	1	0	3
rev	2434	740	168	5	0	201	3	1	3	23	0
revenue	2435	893254	19970	116723	9766	24592	28955	46299	34655	20548	1428
reverse	2436	10316	1060	385	12	590	151	370	38	79	22
review	2437	64996	8678	670	82	5883	921	435	1704	673	75
revolution	2438	5251	465	25	2	335	15	8	6	127	63
rich	2439	51032	2526	1742	416	989	765	698	638	325	108
ride	2440	33813	6195	64	3	656	78	4	7	206	53
rider	2441	11120	2440	17	1	311	1	0	0	129	3
ridiculous	2442	2150	631	3	0	25	0	0	0	27	10
rig	2443	5047	241	55	0	69	182	923	3	27	2
right	2444	162902	26591	10376	518	17636	5654	5544	4139	1850	640
rightly	2445	1437	428	22	1	195	0	1	0	7	6
ring	2446	15290	2641	350	7	574	92	308	41	131	20
rip	2447	4615	1201	1	0	86	1	0	0	15	1
rise	2448	914119	36398	210760	14710	38420	44203	59481	51781	24622	3531
risk	2449	228217	15011	27904	1561	15190	7203	7367	5990	4534	743
rival	2450	14828	2513	21	3	177	17	4	2	207	132
river	2451	26621	5501	91	8	1050	17	190	23	37	69
ro	2452	696	23	217	18	136	67	226	49	15	14
road	2453	98621	17572	981	249	13705	271	601	363	799	276
rob	2454	2106	549	11	1	214	2	0	0	10	2
robbery	2455	3385	779	2	0	1217	0	0	0	10	4
robin	2456	689	414	2	0	18	0	0	5	0	0
robot	2457	7426	466	148	13	482	112	3	13	392	27
rock	2458	21823	3746	255	30	396	2398	15	68	116	23
rocket	2459	5244	934	97	0	142	9	0	1	86	6
rod	2460	4033	258	11	8	237	14	69	141	127	0
role	2461	135224	11754	1833	126	7787	745	719	662	783	225
roll	2462	30820	4792	505	138	1279	164	255	178	446	60
rom	2463	915	13	10	0	8	4	131	0	4	0
roo	2464	1634	22	4	0	1	0	0	3	0	0
roof	2465	9674	1835	281	4	584	104	22	16	130	15
room	2466	65579	9058	462	22	2906	195	119	246	273	156
rooster	2467	2863	403	1	0	5	0	0	0	1	0
rope	2468	3546	587	6	1	83	36	8	138	6	1
rose	2469	3325	700	190	11	104	34	25	74	20	14
rot	2470	983	362	19	3	22	3	0	0	0	1
rotational	2471	1327	14	17	0	27	16	0	2	24	0
rough	2472	4594	1084	7	6	265	2	6	7	17	8
roundabout	2473	1651	508	0	0	401	0	0	0	13	7
route	2474	32887	2650	223	30	2638	280	113	159	154	98
routinely	2475	1734	228	4	0	111	2	29	1	24	0
rover	2476	1651	207	1	0	30	1	0	0	15	0
row	2477	14807	2384	57	18	333	47	27	24	198	107
rower	2478	1822	652	0	0	20	0	0	0	0	0
royal	2479	4873	1267	22	2	465	604	506	16	665	5
rub	2480	3445	437	25	0	32	5	0	9	7	147
rugby	2481	13527	11204	2	0	336	0	0	0	0	0
rule	2482	66494	11568	1586	297	11310	1373	398	845	862	542
run	2483	163927	29258	1025	53	5959	1496	390	364	817	644
running	2484	5822	1186	7	4	243	11	1	86	37	1
rural	2485	18736	3599	44	6	1577	15	19	33	136	16
rush	2486	8520	1974	38	6	162	7	0	350	30	10
russian	2487	12437	1840	104	29	1147	53	61	178	140	555
sad	2488	5123	1595	29	1	190	2	3	0	26	16
sadly	2489	2991	705	12	0	569	2	0	1	25	2
sadness	2490	1055	248	11	2	47	2	4	0	6	1
safe	2491	85340	9154	19612	1558	8203	4832	6165	5473	3314	270
safely	2492	7635	1136	16	1	621	44	67	5	61	7
safety	2493	139293	8783	10417	842	8209	2925	3239	4167	2812	219
said	2494	2748	252	40	3	221	30	35	35	43	6
sale	2495	803150	29357	97538	10588	33145	27367	42872	46527	24909	2699
same	2496	190640	19596	14867	1040	8776	4407	6001	4558	3618	660
sand	2497	10045	1174	690	1	103	63	37	3	26	1
